ticket,phase,driver,task,depends_on,deliverables,state
BIC-NODE-001,1,node,"Research candidate benchmark drivers and download official docs, source snapshots, examples, release notes, and benchmark material.",BIC-000,node/REFERENCE_MANIFEST.csv; node/BEST_IN_CLASS_SELECTION.md; node/IMPLEMENTATION_ANCHORS.md,closed
BIC-NODE-002,2,node,Produce competitive gap report between ScratchBird Node.js/TypeScript and the selected benchmark.,BIC-NODE-001,node/BEST_IN_CLASS_GAP_REPORT.md; node/BEST_IN_CLASS_GAP_MATRIX.csv,closed
BIC-NODE-003,3,node,Update Node.js/TypeScript specifications so ScratchBird is driven to parity or better than the selected benchmark.,BIC-NODE-002,"Updated Node specs, API docs, and testing criteria",closed
BIC-ODBC-001,1,odbc,"Research candidate benchmark drivers and download official docs, source snapshots, examples, release notes, and benchmark material.",BIC-000,odbc/REFERENCE_MANIFEST.csv; odbc/BEST_IN_CLASS_SELECTION.md; odbc/IMPLEMENTATION_ANCHORS.md,closed
BIC-ODBC-002,2,odbc,Produce competitive gap report between ScratchBird ODBC and the selected benchmark.,BIC-ODBC-001,odbc/BEST_IN_CLASS_GAP_REPORT.md; odbc/BEST_IN_CLASS_GAP_MATRIX.csv,closed
BIC-ODBC-003,3,odbc,Update ODBC specifications so ScratchBird is driven to parity or better than the selected benchmark.,BIC-ODBC-002,"Updated ODBC specs, API docs, and testing criteria",closed
BIC-PASCAL-001,1,pascal,"Research candidate benchmark drivers and download official docs, source snapshots, examples, release notes, and benchmark material.",BIC-000,pascal/REFERENCE_MANIFEST.csv; pascal/BEST_IN_CLASS_SELECTION.md; pascal/IMPLEMENTATION_ANCHORS.md,closed
BIC-PASCAL-002,2,pascal,Produce competitive gap report between ScratchBird Pascal/Delphi and the selected benchmark.,BIC-PASCAL-001,pascal/BEST_IN_CLASS_GAP_REPORT.md; pascal/BEST_IN_CLASS_GAP_MATRIX.csv,closed
BIC-PASCAL-003,3,pascal,Update Pascal/Delphi specifications so ScratchBird is driven to parity or better than the selected benchmark.,BIC-PASCAL-002,"Updated Pascal specs, API docs, and testing criteria",closed
BIC-PHP-001,1,php,"Research candidate benchmark drivers and download official docs, source snapshots, examples, release notes, and benchmark material.",BIC-000,php/REFERENCE_MANIFEST.csv; php/BEST_IN_CLASS_SELECTION.md; php/IMPLEMENTATION_ANCHORS.md,closed
BIC-PHP-002,2,php,Produce competitive gap report between ScratchBird PHP and the selected benchmark.,BIC-PHP-001,php/BEST_IN_CLASS_GAP_REPORT.md; php/BEST_IN_CLASS_GAP_MATRIX.csv,closed
BIC-PHP-003,3,php,Update PHP specifications so ScratchBird is driven to parity or better than the selected benchmark.,BIC-PHP-002,"Updated PHP specs, API docs, and testing criteria",closed
BIC-PRISMA-001,1,prisma,"Research candidate benchmark Prisma providers and download official docs, source snapshots, examples, release notes, and migration/introspection material.",BIC-000,prisma/REFERENCE_MANIFEST.csv; prisma/BEST_IN_CLASS_SELECTION.md; prisma/IMPLEMENTATION_ANCHORS.md,closed
BIC-PRISMA-002,2,prisma,Produce competitive gap report between ScratchBird Prisma integration and the selected benchmark.,BIC-PRISMA-001,prisma/BEST_IN_CLASS_GAP_REPORT.md; prisma/BEST_IN_CLASS_GAP_MATRIX.csv,closed
BIC-PRISMA-003,3,prisma,Update Prisma integration specifications so ScratchBird is driven to parity or better than the selected benchmark.,BIC-PRISMA-002,"Updated Prisma specs, docs, and testing criteria",closed
BIC-PYTHON-001,1,python,"Research candidate benchmark drivers and download official docs, source snapshots, examples, release notes, and benchmark material.",BIC-000,python/REFERENCE_MANIFEST.csv; python/BEST_IN_CLASS_SELECTION.md; python/IMPLEMENTATION_ANCHORS.md,closed
BIC-PYTHON-002,2,python,Produce competitive gap report between ScratchBird Python and the selected benchmark.,BIC-PYTHON-001,python/BEST_IN_CLASS_GAP_REPORT.md; python/BEST_IN_CLASS_GAP_MATRIX.csv,closed
BIC-PYTHON-003,3,python,Update Python specifications so ScratchBird is driven to parity or better than the selected benchmark.,BIC-PYTHON-002,"Updated Python specs, API docs, and testing criteria",closed
BIC-R-001,1,r,"Research candidate benchmark drivers and download official docs, source snapshots, examples, release notes, and benchmark material.",BIC-000,r/REFERENCE_MANIFEST.csv; r/BEST_IN_CLASS_SELECTION.md; r/IMPLEMENTATION_ANCHORS.md,closed
BIC-R-002,2,r,Produce competitive gap report between ScratchBird R and the selected benchmark.,BIC-R-001,r/BEST_IN_CLASS_GAP_REPORT.md; r/BEST_IN_CLASS_GAP_MATRIX.csv,closed
BIC-R-003,3,r,Update R specifications so ScratchBird is driven to parity or better than the selected benchmark.,BIC-R-002,"Updated R specs, API docs, and testing criteria",closed
BIC-RUBY-001,1,ruby,"Research candidate benchmark drivers and download official docs, source snapshots, examples, release notes, and benchmark material.",BIC-000,ruby/REFERENCE_MANIFEST.csv; ruby/BEST_IN_CLASS_SELECTION.md; ruby/IMPLEMENTATION_ANCHORS.md,closed
BIC-RUBY-002,2,ruby,Produce competitive gap report between ScratchBird Ruby and the selected benchmark.,BIC-RUBY-001,ruby/BEST_IN_CLASS_GAP_REPORT.md; ruby/BEST_IN_CLASS_GAP_MATRIX.csv,closed
BIC-RUBY-003,3,ruby,Update Ruby specifications so ScratchBird is driven to parity or better than the selected benchmark.,BIC-RUBY-002,"Updated Ruby specs, API docs, and testing criteria",closed
BIC-RUST-001,1,rust,"Research candidate benchmark drivers and download official docs, source snapshots, examples, release notes, and benchmark material.",BIC-000,rust/REFERENCE_MANIFEST.csv; rust/BEST_IN_CLASS_SELECTION.md; rust/IMPLEMENTATION_ANCHORS.md,closed
BIC-RUST-002,2,rust,Produce competitive gap report between ScratchBird Rust and the selected benchmark.,BIC-RUST-001,rust/BEST_IN_CLASS_GAP_REPORT.md; rust/BEST_IN_CLASS_GAP_MATRIX.csv,closed
BIC-RUST-003,3,rust,Update Rust specifications so ScratchBird is driven to parity or better than the selected benchmark.,BIC-RUST-002,"Updated Rust specs, API docs, and testing criteria",closed
BIC-SQLALCHEMY-001,1,sqlalchemy,"Research candidate benchmark SQLAlchemy dialects and download official docs, source snapshots, examples, release notes, and alembic/reflection material.",BIC-000,sqlalchemy/REFERENCE_MANIFEST.csv; sqlalchemy/BEST_IN_CLASS_SELECTION.md; sqlalchemy/IMPLEMENTATION_ANCHORS.md,closed
BIC-SQLALCHEMY-002,2,sqlalchemy,Produce competitive gap report between ScratchBird SQLAlchemy integration and the selected benchmark.,BIC-SQLALCHEMY-001,sqlalchemy/BEST_IN_CLASS_GAP_REPORT.md; sqlalchemy/BEST_IN_CLASS_GAP_MATRIX.csv,closed
BIC-SQLALCHEMY-003,3,sqlalchemy,Update SQLAlchemy integration specifications so ScratchBird is driven to parity or better than the selected benchmark.,BIC-SQLALCHEMY-002,"Updated SQLAlchemy specs, docs, and testing criteria",closed
BIC-SUPERSET-001,1,superset,"Research candidate benchmark Superset backend integrations and download official docs, source snapshots, examples, release notes, and packaging material.",BIC-000,superset/REFERENCE_MANIFEST.csv; superset/BEST_IN_CLASS_SELECTION.md; superset/IMPLEMENTATION_ANCHORS.md,closed
BIC-SUPERSET-002,2,superset,Produce competitive gap report between ScratchBird Superset integration and the selected benchmark.,BIC-SUPERSET-001,superset/BEST_IN_CLASS_GAP_REPORT.md; superset/BEST_IN_CLASS_GAP_MATRIX.csv,closed
BIC-SUPERSET-003,3,superset,Update Superset integration specifications so ScratchBird is driven to parity or better than the selected benchmark.,BIC-SUPERSET-002,"Updated Superset specs, docs, and testing criteria",closed
BIC-SWIFT-001,1,swift,"Research candidate benchmark drivers and download official docs, source snapshots, examples, release notes, and benchmark material.",BIC-000,swift/REFERENCE_MANIFEST.csv; swift/BEST_IN_CLASS_SELECTION.md; swift/IMPLEMENTATION_ANCHORS.md,closed
BIC-SWIFT-002,2,swift,Produce competitive gap report between ScratchBird Swift and the selected benchmark.,BIC-SWIFT-001,swift/BEST_IN_CLASS_GAP_REPORT.md; swift/BEST_IN_CLASS_GAP_MATRIX.csv,closed
BIC-SWIFT-003,3,swift,Update Swift specifications so ScratchBird is driven to parity or better than the selected benchmark.,BIC-SWIFT-002,"Updated Swift specs, API docs, and testing criteria",closed
BIC-TYPEORM-001,1,typeorm,"Research candidate benchmark TypeORM adapters and download official docs, source snapshots, examples, release notes, and migration/runtime material.",BIC-000,typeorm/REFERENCE_MANIFEST.csv; typeorm/BEST_IN_CLASS_SELECTION.md; typeorm/IMPLEMENTATION_ANCHORS.md,closed
BIC-TYPEORM-002,2,typeorm,Produce competitive gap report between ScratchBird TypeORM integration and the selected benchmark.,BIC-TYPEORM-001,typeorm/BEST_IN_CLASS_GAP_REPORT.md; typeorm/BEST_IN_CLASS_GAP_MATRIX.csv,closed
BIC-TYPEORM-003,3,typeorm,Update TypeORM integration specifications so ScratchBird is driven to parity or better than the selected benchmark.,BIC-TYPEORM-002,"Updated TypeORM specs, docs, and testing criteria",closed
BIC-999,4,all,"Close the program: verify every driver and adapter lane has research packets, gap reports, updated specs, and a Beta 1 class implementation brief for low-reasoning execution.",BIC-CPP-003 BIC-CLI-003 BIC-DART-003 BIC-DBEAVER-003 BIC-DOTNET-003 BIC-ELIXIR-003 BIC-GO-003 BIC-HIBERNATE-003 BIC-JDBC-003 BIC-METABASE-003 BIC-MOJO-003 BIC-NODE-003 BIC-ODBC-003 BIC-PASCAL-003 BIC-PHP-003 BIC-PRISMA-003 BIC-PYTHON-003 BIC-R-003 BIC-RUBY-003 BIC-RUST-003 BIC-SQLALCHEMY-003 BIC-SUPERSET-003 BIC-SWIFT-003 BIC-TYPEORM-003,Program closeout summary and final status matrix,closed
