ticket_id,phase,lane,kind,title,depends_on,status,deliverables,acceptance
EXP-010,phase1,looker,adapter,Publish best-in-class research and gap report for Looker,EXP-000,closed,"docs/reference/beta1_expansion_server_independent_2026-04-03/looker/BEST_IN_CLASS_RESEARCH.md; docs/audit/BETA1_EXPANSION_LOOKER_GAP_REPORT.md","Benchmark references captured; dialect/model expectations summarized; gap report published"
EXP-011,phase2,r2dbc,driver,Deepen R2DBC authoritative spec pack,EXP-001,closed,"docs/specifications/drivers/R2DBC_DRIVER_SPECIFICATION.md; docs/api-reference/r2dbc.md; docs/getting-started/r2dbc.md; docs/development/server-verification/r2dbc.md","Spec includes benchmark-derived capability families, packaging expectations, release evidence, and explicit later proof steps; public docs aligned"
EXP-012,phase2,adbc,driver,Deepen ADBC authoritative spec pack,EXP-002,closed,"docs/specifications/drivers/ADBC_DRIVER_SPECIFICATION.md; docs/api-reference/adbc.md; docs/getting-started/adbc.md; docs/development/server-verification/adbc.md","Spec includes benchmark-derived capability families, packaging expectations, release evidence, and explicit later proof steps; public docs aligned"
EXP-013,phase2,flightsql,driver,Deepen Flight SQL authoritative spec pack,EXP-003,closed,"docs/specifications/drivers/FLIGHT_SQL_DRIVER_SPECIFICATION.md; docs/api-reference/flightsql.md; docs/getting-started/flightsql.md; docs/development/server-verification/flightsql.md","Spec includes benchmark-derived capability families, packaging expectations, release evidence, and explicit later proof steps; public docs aligned"
EXP-014,phase2,julia,driver,Deepen Julia authoritative spec pack,EXP-004,closed,"docs/specifications/drivers/JULIA_DRIVER_SPECIFICATION.md; docs/api-reference/julia.md; docs/getting-started/julia.md; docs/development/server-verification/julia.md","Spec includes benchmark-derived capability families, packaging expectations, release evidence, and explicit later proof steps; public docs aligned"
EXP-015,phase2,perl,driver,Deepen Perl DBI authoritative spec pack,EXP-005,closed,"docs/specifications/drivers/PERL_DBI_DRIVER_SPECIFICATION.md; docs/api-reference/perl.md; docs/getting-started/perl.md; docs/development/server-verification/perl.md","Spec includes benchmark-derived capability families, packaging expectations, release evidence, and explicit later proof steps; public docs aligned"
EXP-016,phase2,dbt,adapter,Deepen dbt authoritative compatibility pack,EXP-006,closed,"docs/application-reference/DBT_ADAPTER_COMPATIBILITY_SPECIFICATION.md; docs/api-reference/dbt.md; docs/getting-started/dbt.md; docs/development/server-verification/dbt.md","Spec includes benchmark-derived compatibility families, packaging expectations, release evidence, and explicit later proof steps; public docs aligned"
EXP-017,phase2,airbyte,adapter,Deepen Airbyte authoritative compatibility pack,EXP-007,closed,"docs/application-reference/AIRBYTE_CONNECTOR_COMPATIBILITY_SPECIFICATION.md; docs/api-reference/airbyte.md; docs/getting-started/airbyte.md; docs/development/server-verification/airbyte.md","Spec includes benchmark-derived compatibility families, packaging expectations, release evidence, and explicit later proof steps; public docs aligned"
EXP-018,phase2,powerbi,adapter,Deepen Power BI authoritative compatibility pack,EXP-008,closed,"docs/application-reference/POWERBI_COMPATIBILITY_SPECIFICATION.md; docs/api-reference/powerbi.md; docs/getting-started/powerbi.md; docs/development/server-verification/powerbi.md","Spec includes benchmark-derived compatibility families, packaging expectations, release evidence, and explicit later proof steps; public docs aligned"
EXP-019,phase2,tableau,adapter,Deepen Tableau authoritative compatibility pack,EXP-009,closed,"docs/application-reference/TABLEAU_COMPATIBILITY_SPECIFICATION.md; docs/api-reference/tableau.md; docs/getting-started/tableau.md; docs/development/server-verification/tableau.md","Spec includes benchmark-derived compatibility families, packaging expectations, release evidence, and explicit later proof steps; public docs aligned"
EXP-020,phase2,looker,adapter,Deepen Looker authoritative compatibility pack,EXP-010,closed,"docs/application-reference/LOOKER_COMPATIBILITY_SPECIFICATION.md; docs/api-reference/looker.md; docs/getting-started/looker.md; docs/development/server-verification/looker.md","Spec includes benchmark-derived compatibility families, packaging expectations, release evidence, and explicit later proof steps; public docs aligned"
EXP-021,phase3,all,program,Resync indexes and authority maps for the new Beta 1 lanes,"EXP-011 EXP-012 EXP-013 EXP-014 EXP-015 EXP-016 EXP-017 EXP-018 EXP-019 EXP-020",closed,"README.md; docs/specifications/README.md; docs/specifications/drivers/README.md; docs/specifications/DRIVER_LANE_AUTHORITY_INDEX.md; docs/application-reference/README.md; docs/getting-started/README.md; docs/api-reference/README.md; docs/development/server-verification/README.md","All public and internal indexes reflect the lane-local spec truth"
EXP-022,phase3,all,program,Update support lists and supersession notes for promoted adapter lanes,EXP-021,closed,"docs/application-reference/applicationstosupport.md; docs/specifications/DRIVER_INTEGRATION_AUTHORITY_AND_SUPERSESSION_MAP.md; docs/specifications/integrations/README.md","Promoted adapters are treated as active authority targets and any overlapping draft subtree authority is explicit"
EXP-023,phase3,all,program,Publish closeout and isolate implementation-pending vs server-blocked work,"EXP-021 EXP-022",closed,"docs/audit/DRIVER_BETA1_EXPANSION_SERVER_INDEPENDENT_REMAINING_WORK.md","Remaining work is explicitly split between implementation-pending and server-blocked; no hidden assumptions remain"
