driver,lane_path,current_parity_state,current_truth_inputs,candidate_benchmark_pool,research_goal,reference_packet_root,gap_report_root,spec_targets,priority
pascal,tracks/p3/drivers/pascal,complete,"BASELINE_REQUIREMENT_MAPPING.md; README.md; docs/specifications/drivers/language/pascal-delphi/SPECIFICATION.md; docs/audit/DRIVER_IMPLEMENTATION_AUDIT.md","ZeosLib; FireDAC; FreePascal SQLDB","Determine the strongest Pascal/Delphi benchmark for native driver behavior, dataset integration, metadata, transactions, TLS, and packaging across Delphi/FPC ecosystems.","docs/reference/best_in_class_driver_research_2026-04-03/pascal/","docs/audit/best_in_class_driver_gaps_2026-04-03/pascal/","docs/specifications/drivers/language/pascal-delphi/SPECIFICATION.md; docs/api-reference/pascal.md; docs/getting-started/pascal.md",P1
php,tracks/p3/drivers/php,complete,"BASELINE_REQUIREMENT_MAPPING.md; README.md; docs/specifications/drivers/language/php/SPECIFICATION.md; docs/audit/DRIVER_IMPLEMENTATION_AUDIT.md","ext-pgsql; PDO_PGSQL; amphp/postgres","Determine the strongest PHP benchmark for PDO-style integration, typed error handling, parameter binding, streaming, metadata, and package ergonomics; raise ScratchBird PHP to match or exceed it.","docs/reference/best_in_class_driver_research_2026-04-03/php/","docs/audit/best_in_class_driver_gaps_2026-04-03/php/","docs/specifications/drivers/language/php/SPECIFICATION.md; docs/api-reference/php.md; docs/getting-started/php.md",P1
prisma,tracks/alpha/integrations/scratchbird-prisma-adapter,partial_contract_only,"README.md; docs/audit/DRIVER_IMPLEMENTATION_AUDIT.md; tracks/p3/drivers/node/README.md","Prisma PostgreSQL provider; Prisma MySQL provider; Prisma SQL Server provider","Determine the strongest Prisma provider behavior for schema introspection, migration planning, datasource validation, transaction usage, and native type mapping so ScratchBird Prisma can move from deterministic scaffold to first-class provider quality.","docs/reference/best_in_class_driver_research_2026-04-03/prisma/","docs/audit/best_in_class_driver_gaps_2026-04-03/prisma/","docs/application-reference/PRISMA_COMPATIBILITY_SPECIFICATION.md; docs/api-reference/prisma.md; docs/getting-started/prisma.md; tracks/alpha/integrations/scratchbird-prisma-adapter/README.md",P0
python,tracks/p3/drivers/python,complete,"BASELINE_REQUIREMENT_MAPPING.md; README.md; docs/specifications/drivers/language/python/SPECIFICATION.md; docs/audit/DRIVER_IMPLEMENTATION_AUDIT.md","psycopg3; asyncpg; mysqlclient or mysql-connector-python","Determine the strongest Python benchmark for DB-API semantics, async APIs, typed codecs, cancellation, copy/streaming patterns, packaging, and ecosystem integration; identify where ScratchBird Python can be better.","docs/reference/best_in_class_driver_research_2026-04-03/python/","docs/audit/best_in_class_driver_gaps_2026-04-03/python/","docs/specifications/drivers/language/python/SPECIFICATION.md; docs/api-reference/python.md; docs/getting-started/python.md",P0
r,tracks/p3/drivers/r,partial,"BASELINE_REQUIREMENT_MAPPING.md; README.md; docs/specifications/drivers/language/r/SPECIFICATION.md; docs/audit/DRIVER_IMPLEMENTATION_AUDIT.md","RPostgres; RMariaDB; odbc package","Determine the strongest R DBI benchmark for connection/auth ergonomics, result/data-frame shaping, metadata helpers, type conversion, and packaging; close ScratchBird R’s connection and metadata gaps.","docs/reference/best_in_class_driver_research_2026-04-03/r/","docs/audit/best_in_class_driver_gaps_2026-04-03/r/","docs/specifications/drivers/language/r/SPECIFICATION.md; docs/api-reference/r.md; docs/getting-started/r.md",P1
ruby,tracks/p3/drivers/ruby,complete,"BASELINE_REQUIREMENT_MAPPING.md; README.md; docs/specifications/drivers/language/ruby/SPECIFICATION.md; docs/audit/DRIVER_IMPLEMENTATION_AUDIT.md","pg gem; mysql2; tiny_tds","Determine the strongest Ruby benchmark for DBI and direct-driver behavior, prepared statements, metadata, error classes, UTF-8 handling, and release quality; identify any areas for ScratchBird Ruby to exceed it.","docs/reference/best_in_class_driver_research_2026-04-03/ruby/","docs/audit/best_in_class_driver_gaps_2026-04-03/ruby/","docs/specifications/drivers/language/ruby/SPECIFICATION.md; docs/api-reference/ruby.md; docs/getting-started/ruby.md",P1
rust,tracks/p3/drivers/rust,complete,"BASELINE_REQUIREMENT_MAPPING.md; README.md; docs/specifications/drivers/language/rust/SPECIFICATION.md; docs/audit/DRIVER_IMPLEMENTATION_AUDIT.md","tokio-postgres; sqlx; mysql_async","Determine the strongest Rust benchmark for async performance, typed decoding, connection pooling, transactions, cancellation, and release quality; identify remaining enhancements needed for ScratchBird Rust to be clearly best in class.","docs/reference/best_in_class_driver_research_2026-04-03/rust/","docs/audit/best_in_class_driver_gaps_2026-04-03/rust/","docs/specifications/drivers/language/rust/SPECIFICATION.md; docs/api-reference/rust.md; docs/getting-started/rust.md",P0
sqlalchemy,tracks/alpha/integrations/scratchbird-sqlalchemy-dialect,partial_adapter,"README.md; docs/specifications/drivers/language/python/SPECIFICATION.md; docs/audit/DRIVER_IMPLEMENTATION_AUDIT.md","SQLAlchemy PostgreSQL dialect; SQLAlchemy MySQL dialect; SQLAlchemy SQL Server dialect","Determine the strongest SQLAlchemy dialect behavior for reflection, ORM mapping, DDL compilation, server default handling, transaction integration, alembic compatibility, and packaging so ScratchBird SQLAlchemy can be equal to or better than the strongest mainstream dialects.","docs/reference/best_in_class_driver_research_2026-04-03/sqlalchemy/","docs/audit/best_in_class_driver_gaps_2026-04-03/sqlalchemy/","docs/application-reference/SQLALCHEMY_COMPATIBILITY_SPECIFICATION.md; docs/api-reference/sqlalchemy.md; docs/getting-started/sqlalchemy.md; tracks/alpha/integrations/scratchbird-sqlalchemy-dialect/README.md",P0
superset,tracks/beta/integrations/scratchbird-superset-driver,partial_adapter,"README.md; docs/application-reference/SUPERSET_COMPATIBILITY_SPECIFICATION.md; docs/api-reference/superset.md; docs/getting-started/superset.md; docs/planning/driver-checklists/superset.md; tracks/alpha/integrations/scratchbird-sqlalchemy-dialect/README.md","Superset PostgreSQL engine spec; Superset MySQL engine spec; Superset Trino engine spec","Determine the strongest Superset database integration behavior for engine spec capability flags, SQL Lab, dataset discovery, time grain handling, async query workflows, and packaging so ScratchBird Superset can be a full first-class backend.","docs/reference/best_in_class_driver_research_2026-04-03/superset/","docs/audit/best_in_class_driver_gaps_2026-04-03/superset/","docs/application-reference/SUPERSET_COMPATIBILITY_SPECIFICATION.md; docs/api-reference/superset.md; docs/getting-started/superset.md; tracks/beta/integrations/scratchbird-superset-driver/README.md",P0
swift,tracks/p3/drivers/swift,partial,"BASELINE_REQUIREMENT_MAPPING.md; README.md; docs/specifications/DRIVER_SWIFT_ASYNC_ADAPTER.md; docs/audit/DRIVER_IMPLEMENTATION_AUDIT.md","PostgresNIO; AsyncPostgres or similar direct Swift drivers; DB driver packages used in Vapor/Hummingbird ecosystems","Determine the strongest Swift benchmark for async/await, NIO integration, streaming, typed decoding, metadata, pooling, and failure handling; close ScratchBird Swift’s current partial areas.","docs/reference/best_in_class_driver_research_2026-04-03/swift/","docs/audit/best_in_class_driver_gaps_2026-04-03/swift/","docs/specifications/DRIVER_SWIFT_ASYNC_ADAPTER.md; docs/api-reference/swift.md; docs/getting-started/swift.md",P0
typeorm,tracks/alpha/integrations/scratchbird-typeorm-adapter,partial_contract_only,"README.md; examples/README.md; tracks/p3/drivers/node/README.md; docs/audit/DRIVER_IMPLEMENTATION_AUDIT.md","TypeORM PostgreSQL driver; TypeORM MySQL driver; TypeORM SQL Server driver","Determine the strongest TypeORM adapter behavior for datasource options, schema sync, migrations, relation loading, transaction scoping, metadata reflection, and query builder behavior so ScratchBird TypeORM can be a production-grade adapter.","docs/reference/best_in_class_driver_research_2026-04-03/typeorm/","docs/audit/best_in_class_driver_gaps_2026-04-03/typeorm/","docs/application-reference/TYPEORM_COMPATIBILITY_SPECIFICATION.md; docs/api-reference/typeorm.md; docs/getting-started/typeorm.md; tracks/alpha/integrations/scratchbird-typeorm-adapter/README.md",P0
